File name,Mean concentration ≥2 µm (cm^-3),Std dev in ≥2 µm bins (cm^-3),"Total concentration (all bins, cm^-3)"
256.pickle,0.6964932406779661,0.021595642346590706,84.74463262711865
257.pickle,0.6025925881355934,0.01856449712927299,84.68196717457629
258.pickle,1.368844311864407,0.041592316141654755,85.4397636559322
259.pickle,0.22136956440677963,0.008462984567708234,84.28647477118643
260.pickle,0.2215298338983051,0.007858181298610213,84.29350517288135
261.pickle,0.9675216457627118,0.029572632369780305,85.02725616779661
262.pickle,1.3877412762711865,0.0419409524941523,85.47670402881357
263.pickle,0.7447309525423728,0.0229749110272947,84.8337867118644
264.pickle,0.36363989152542353,0.012063073288760365,84.4022976220339
265.pickle,0.41157792711864405,0.013292608143078711,84.49607356440677
266.pickle,0.843509072881356,0.025985487560335408,84.92213060508476
267.pickle,0.6177936016949153,0.01930665094863885,84.67426012372881
268.pickle,0.2687167949152543,0.009351446635222846,84.3178149779661
269.pickle,0.6016191423728814,0.018515860243782115,84.68874223559322
270.pickle,1.1485089898305085,0.034710554863449365,85.23578230169491
271.pickle,1.001863272881356,0.03074773919007516,85.08603997288137
272.pickle,0.5377375169491525,0.016739964693737928,84.6081239237288
273.pickle,1.7449247881355934,0.053014451452692866,85.81973969830509
274.pickle,1.0981163050847456,0.03356259685103835,85.1359340457627
275.pickle,1.0656297491525422,0.03242498663358027,85.15951211694916
276.pickle,0.36401786949152537,0.012025602566381828,84.4571712
277.pickle,1.002477459322034,0.030452569148560267,85.08830720169493
278.pickle,1.325923188135593,0.040109572620411024,85.39257323559322
279.pickle,0.8252326118644069,0.02520701098568311,84.88374266949153
280.pickle,0.30154922372881343,0.01011441908434381,84.40320507288136
281.pickle,2.642303925423729,0.07932404125358024,86.71685784067797
282.pickle,1.449805059322034,0.04385474078644727,85.51824923050847
283.pickle,1.8431562932203391,0.05582383166865892,85.9162390898305
284.pickle,1.1157297169491525,0.03376403663677462,85.19760693728814
285.pickle,1.0649075220338986,0.03269175609267487,85.13458628474578
286.pickle,1.3539458694915256,0.0411208795458909,85.42529883559322
287.pickle,1.6638010576271185,0.050358087343931865,85.74603324745763
288.pickle,0.6955945169491526,0.021795025443845453,84.75507962711865
289.pickle,0.11059111864406772,0.0055384131597777395,84.14824645762712
290.pickle,0.016032303389830513,0.002267310088997846,84.07866080338982
291.pickle,0.8234749101694916,0.025198670397392483,84.88945775254237
292.pickle,0.11083932711864386,0.00555040114555545,84.1514472118644
293.pickle,0.5063296966101695,0.015886530194155164,84.56962529322033
294.pickle,0.633661645762712,0.019732592499781525,84.68861960508474
295.pickle,1.9724314169491524,0.05951879255049933,86.03204727966101
296.pickle,0.2546918932203389,0.008763209572933703,84.35013583898305
297.pickle,0.04708231525423734,0.003765361600251651,84.11306708644068
298.pickle,2.945137388135594,0.088483318252125,87.03845543559322
299.pickle,0.21964915423728815,0.007792175276960826,84.30050554915255
300.pickle,0.06316525593220354,0.004327811232955183,84.13691080847457
301.pickle,0.6985809627118647,0.021907190746334022,84.79124316949154
302.pickle,0.7610381644067795,0.023309110878352374,84.81284324915255
303.pickle,1.4175991355932207,0.042946412466963756,85.50170082372881
304.pickle,0.7120764593220338,0.021794875689659376,84.77580431016949
305.pickle,0.49067014576271195,0.01529045449231718,84.57158305932202
306.pickle,0.2680792847457628,0.009342763343691671,84.32743664745763
307.pickle,0.3794920220338985,0.012475454674987504,84.47895700847458
308.pickle,1.0188310983050846,0.031032128663441672,85.08790744067797
309.pickle,0.8728170084745766,0.026840479347885277,84.94498039491526
310.pickle,1.5687479237288136,0.04736219384661412,85.64648216440678
